id,ENSG00000254709,ENSG00000137818,ENSG00000149273,ENSG00000160180,ENSG00000034510
BC23270_D2,22933.0,21042.0,3706.0,6534.0,5607.0
BC23270_E1,27170.0,27233.0,4494.0,5553.0,5649.0
BC23270_E2,40529.0,29511.0,6081.0,8429.0,8950.0
BT23268_C1,3262.0,11887.0,3644.0,2056.0,2319.0
BT23268_C2,4015.0,20539.0,5309.0,3382.0,4229.0
BT23268_D1,4851.0,14845.0,3590.0,3070.0,4243.0
BT23287_C1,330.0,2766.0,797.0,1693.0,1139.0
BT23287_C2,526.0,3980.0,1093.0,1409.0,1601.0
BT23287_D1,124.0,4270.0,869.0,1520.0,1201.0
BT23506_C1,12615.0,57340.0,340555.0,1537.0,33888.0
